;Age;Attrition;BusinessTravel;DailyRate;Department;DistanceFromHome;Education;EducationField;employeecount;employeenumber;EnvironmentSatisfaction;Gender;HourlyRate;JobInvolvement;JobLevel;JobRole;JobSatisfaction;MaritalStatus;MonthlyIncome;MonthlyRate;NUMCOMPANIESWORKED;Over18;OverTime;PercentSalaryHike;PerformanceRating;RelationshipSatisfaction;StandardHours;StockOptionLevel;TOTALWORKINGYEARS;TrainingTimesLastYear;WORKLIFEBALANCE;YearsAtCompany;YearsInCurrentRole;YearsSinceLastPromotion;YEARSWITHCURRMANAGER;SameAsMonthlyIncome;DateBirth;Salary;RoleDepartament;NUMBERCHILDREN;RemoteWork
0;51;No;;684,0$;;6;3;;1;162;1;0;51;3;5; resEArch DIREcToR ;3;;19537;6462;7;Y;No;13;3;3;nan;0;nan;5;3;20;nan;15;15;19537;1972;1000000000$;;;Yes
1;52;No;;699,0$;;1;4;Life Sciences;1;259;3;0;65;2;5; ManAGeR ;3;;19999;5678;0;;;14;3;1;nan;1;34;5;3;33;nan;11;9;19999;1971;1000000000$;;;1
2;42;No;travel_rarely;532,0$; Research & Development ;4;2;Technical Degree;1;319;3;0;58;3;5; ManaGER ;4;Married;19232;4933;1;;No;11;3;4;nan;0;22;3;nan;22;nan;11;15;19232;1981;1000000000$; ManaGER  -  Research & Development ;;1
3;47;No;travel_rarely;359,0$;;2;4;Medical;1;nan;1;1;82;3;4; ReseArCH DIrECtOr ;3;Married;17169;26703;3;Y;;19;3;2;nan;2;nan;2;nan;20;nan;5;6;17169;1976;1000000000$;;;False
4;46;No;;1319,0$;;3;3;Technical Degree;1;nan;1;1;45;4;4; sAleS EXECUtIve ;1;Divorced;nan;7739;2;Y;No;12;3;4;nan;1;nan;5;3;19;nan;2;8;nan;1977;1000000000$;;;0
5;48;No;;117,0$; Research & Development ;22;3;Medical;1;1900;4;1;58;3;4; MANAger ;4;;17174;2437;3;;No;11;3;2;nan;1;nan;3;3;22;nan;4;7;17174;1975;1000000000$; MANAger  -  Research & Development ;;Yes
6;59;No;;1435,0$;;25;3;Life Sciences;1;81;1;1;99;3;3; Sales ExeCutIVe ;1;;nan;2354;7;Y;;11;3;4;nan;0;28;3;2;21;nan;7;9;nan;1964;1000000000$;;;True
7;42;No;travel_rarely;635,0$;;1;1;;1;387;2;0;99;3;2; Sales eXEcUTiVe ;3;Married;nan;24532;1;;No;25;4;3;nan;0;20;3;3;20;nan;11;6;nan;1981;1000000000$;;;0
8;41;No;;1276,0$;;2;5;;1;nan;2;1;91;3;4; mANAGEr ;1;Married;16595;5626;7;;No;16;3;2;nan;1;22;2;3;18;nan;11;8;16595;1982;1000000000$;;;True
9;41;No;travel_frequently;840,0$;;9;3;;1;999;1;0;64;3;5; reSEaRCH DIrectoR ;3;;nan;3735;2;;No;17;3;2;nan;1;21;2;4;18;nan;0;11;nan;1982;1000000000$;;;0
10;41;No;non-travel;247,0$;;7;1;;1;1035;2;1;55;1;5; RESeArcH DIrEctoR ;3;;19973;20284;1;Y;No;22;4;2;nan;2;nan;3;3;21;nan;5;10;19973;1982;1000000000$;;;0
11;56;No;travel_rarely;1369,0$;;23;3;Life Sciences;1;nan;4;0;68;3;4; MANUfACturing DIReCtOr ;2;Married;13402;18235;4;;Yes;12;nan;1;nan;1;33;0;3;19;nan;15;9;13402;1967;1000000000$;;;False
12;38;No;;201,0$;;10;3;Medical;1;nan;2;1;99;1;3; REseaRCh dirEcToR ;3;Married;13206;3376;3;Y;No;12;3;1;nan;1;nan;3;3;18;nan;1;11;13206;1985;1000000000$;;;1
13;41;Yes;travel_rarely;1360,0$;;12;3;;1;58;2;1;49;3;5; reseARCh DIrEctoR ;3;Married;19545;16280;1;;No;12;3;4;nan;0;nan;0;3;22;nan;15;8;19545;1982;1000000000$;;;False
14;55;No;;692,0$;;14;4;Medical;1;nan;3;0;61;4;5; RESeaRCH dirEctor ;2;Single;nan;13339;8;;No;11;3;4;nan;0;nan;3;3;24;nan;2;15;nan;1968;1000000000$;;;True
15;40;No;travel_rarely;1398,0$;;2;4;;1;558;3;1;79;3;5; MAnAgeR ;3;;18041;13022;0;;No;14;3;4;nan;0;nan;2;3;20;nan;1;12;18041;1983;1000000000$;;;0
16;58;Yes;travel_rarely;286,0$;;2;4;;1;825;4;0;31;3;5; reSeARCh DIrEcToR ;2;Single;19246;25761;7;Y;Yes;12;3;4;nan;0;40;2;3;31;nan;13;8;19246;1965;1000000000$;;;0
17;46;No;travel_rarely;1402,0$;;2;3;;1;nan;3;1;69;3;4; MAnaGER ;1;;nan;24097;8;;;23;4;1;nan;0;28;2;3;26;nan;15;9;nan;1977;1000000000$;;;False
18;35;No;;819,0$;;-13;5;Life Sciences;1;nan;2;0;48;4;2; REseArcH sciENtiST ;1;Married;nan;26312;1;;;11;3;4;nan;0;nan;2;3;16;nan;1;10;nan;1988;1000000000$;;;False
19;40;No;travel_rarely;884,0$;;15;3;Life Sciences;1;nan;1;1;80;2;3; MAnUFaCtUring dIRecTOr ;3;;nan;25800;1;Y;;13;3;4;nan;2;18;2;nan;18;nan;14;12;nan;1983;1000000000$;;;True
20;45;No;non-travel;1238,0$; Research & Development ;1;1;;1;1712;3;0;74;2;3; heaLtHcArE repResENtATiVe ;3;;10748;3395;3;Y;;23;4;4;nan;1;25;3;2;23;nan;14;4;10748;1978;1000000000$; heaLtHcArE repResENtATiVe  -  Research & Development ;;False
21;33;No;;515,0$;;1;2;Life Sciences;1;73;1;1;98;3;3; RESEARCH dIrECtor ;4;Single;nan;15146;1;;Yes;12;3;3;nan;0;15;1;3;15;nan;8;12;nan;1990;1000000000$;;;True
22;36;No;;1223,0$;;8;3;;1;nan;3;1;59;3;3; hEaltHCarE ReprESENTAtIvE ;3;Divorced;nan;8202;1;Y;;13;nan;2;nan;3;17;2;3;17;nan;12;8;nan;1987;1000000000$;;;1
23;47;No;;202,0$;;2;2;Other;1;820;3;1;33;3;4; maNagEr ;4;Married;16752;12982;1;;;11;3;3;80;1;nan;3;2;26;nan;3;0;16752;1976;1000000000$;;;False
24;36;No;travel_rarely;928,0$;;-42;2;Life Sciences;1;nan;42;0;56;3;2; SALEs exeCUtIVe ;4;;6201;2823;1;Y;;14;3;4;nan;1;18;1;nan;18;nan;4;11;6201;1987;1000000000$;;;True
25;35;No;;607,0$;;9;3;Life Sciences;1;nan;4;1;66;2;3; manUfACtURing dirEctOR ;3;Married;nan;23457;1;Y;Yes;20;4;2;80;1;17;2;3;17;nan;5;15;nan;1988;1000000000$;;;False
26;52;Yes;;266,0$;;2;1;;1;nan;1;1;57;1;5; mAnageR ;4;Married;19845;25846;1;Y;No;15;3;4;nan;1;33;3;3;32;nan;6;9;19845;1971;1000000000$;;;1
27;36;No;;429,0$;;2;4;Life Sciences;1;1294;3;1;53;3;2; MaNufActURing dIrecTOr ;2;Single;nan;2323;9;Y;Yes;11;3;4;nan;0;18;2;3;16;nan;5;12;nan;1987;1000000000$;;;0
28;33;No;travel_rarely;589,0$;;28;4;Life Sciences;1;nan;2;0;79;3;2; laBoratOry tecHNiCiaN ;3;Married;nan;22949;1;Y;;12;3;2;nan;1;15;3;3;15;nan;5;7;nan;1990;1000000000$;;;Yes
29;34;No;non-travel;nan$; Sales ;10;3;Life Sciences;1;1774;4;0;87;3;2; saLEs exEcutIVe ;3;;4001;12313;1;Y;Yes;14;3;3;nan;1;15;3;3;15;nan;0;7;4001;1989;1000000000$; saLEs exEcutIVe  -  Sales ;;1
30;41;No;;nan$; Sales ;-37;1;;1;1815;37;1;81;3;3; Sales ExECuTIVe ;3;Divorced;10447;26458;0;;;13;3;4;nan;1;nan;3;4;22;nan;13;5;10447;1982;1000000000$; Sales ExECuTIVe  -  Sales ;;Yes
